id,ts,level,service,message,latency_ms
1,2026-09-02T10:01:13Z,INFO,api-1,request handled,7
2,2026-09-03T10:02:26Z,INFO,api-2,request handled,14
3,2026-09-04T10:03:39Z,INFO,api-3,request handled,26
4,2026-09-05T10:04:52Z,INFO,api-4,request handled,28
5,2026-09-06T10:05:05Z,INFO,api-5,request handled,35
6,2026-09-07T10:06:18Z,INFO,api-6,request handled,47
7,2026-09-08T10:07:31Z,INFO,api-7,request handled,49
8,2026-09-01T10:08:44Z,INFO,api-8,request handled,56
9,2026-09-02T10:09:57Z,INFO,api-9,request handled,68
10,2026-09-03T10:10:10Z,INFO,api-10,request handled,70
11,2026-09-04T10:11:23Z,INFO,api-11,request handled,77
12,2026-09-05T10:12:36Z,INFO,api-0,request handled,89
13,2026-09-06T10:13:49Z,INFO,api-1,request handled,91
14,2026-09-07T10:14:02Z,INFO,api-2,request handled,98
15,2026-09-08T10:15:15Z,INFO,api-3,request handled,110
16,2026-09-01T10:16:28Z,INFO,api-4,request handled,112
17,2026-09-02T10:17:41Z,INFO,api-5,request handled,119
18,2026-09-03T10:18:54Z,INFO,api-6,request handled,131
19,2026-09-04T10:19:07Z,INFO,api-7,request handled,133
20,2026-09-05T10:20:20Z,INFO,api-8,request handled,140
21,2026-09-06T10:21:33Z,INFO,api-9,request handled,152
22,2026-09-07T10:22:46Z,INFO,api-10,request handled,154
23,2026-09-08T10:23:59Z,INFO,api-11,request handled,161
24,2026-09-01T10:24:12Z,INFO,api-0,request handled,173
25,2026-09-02T10:25:25Z,INFO,api-1,request handled,175
26,2026-09-03T10:26:38Z,INFO,api-2,request handled,182
27,2026-09-04T10:27:51Z,INFO,api-3,request handled,194
28,2026-09-05T10:28:04Z,INFO,api-4,request handled,196
29,2026-09-06T10:29:17Z,INFO,api-5,request handled,203
30,2026-09-07T10:30:30Z,INFO,api-6,request handled,215
31,2026-09-08T10:31:43Z,INFO,api-7,request handled,217
32,2026-09-01T10:32:56Z,INFO,api-8,request handled,224
33,2026-09-02T10:33:09Z,INFO,api-9,request handled,236
34,2026-09-03T10:34:22Z,INFO,api-10,request handled,238
35,2026-09-04T10:35:35Z,INFO,api-11,request handled,245
36,2026-09-05T10:36:48Z,INFO,api-0,request handled,257
37,2026-09-06T10:37:01Z,INFO,api-1,request handled,259
38,2026-09-07T10:38:14Z,INFO,api-2,request handled,266
39,2026-09-08T10:39:27Z,INFO,api-3,request handled,278
40,2026-09-01T10:40:40Z,INFO,api-4,request handled,280
41,2026-09-02T10:41:53Z,INFO,api-5,request handled,287
42,2026-09-03T10:42:06Z,INFO,api-6,request handled,299
43,2026-09-04T10:43:19Z,INFO,api-7,request handled,301
44,2026-09-05T10:44:32Z,INFO,api-8,request handled,308
45,2026-09-06T10:45:45Z,INFO,api-9,request handled,320
46,2026-09-07T10:46:58Z,INFO,api-10,request handled,322
47,2026-09-08T10:47:11Z,INFO,api-11,request handled,329
48,2026-09-01T10:48:24Z,INFO,api-0,request handled,341
49,2026-09-02T10:49:37Z,INFO,api-1,request handled,343
50,2026-09-03T10:50:50Z,INFO,api-2,request handled,350
51,2026-09-04T10:51:03Z,INFO,api-3,request handled,362
52,2026-09-05T10:52:16Z,INFO,api-4,request handled,364
53,2026-09-06T10:53:29Z,INFO,api-5,request handled,371
54,2026-09-07T10:54:42Z,INFO,api-6,request handled,383
55,2026-09-08T10:55:55Z,INFO,api-7,request handled,385
56,2026-09-01T10:56:08Z,INFO,api-8,request handled,392
57,2026-09-02T10:57:21Z,INFO,api-9,request handled,404
58,2026-09-03T10:58:34Z,INFO,api-10,request handled,406
59,2026-09-04T10:59:47Z,INFO,api-11,request handled,413
60,2026-09-05T10:00:00Z,INFO,api-0,request handled,425
61,2026-09-06T10:01:13Z,INFO,api-1,request handled,427
62,2026-09-07T10:02:26Z,INFO,api-2,request handled,434
63,2026-09-08T10:03:39Z,INFO,api-3,request handled,446
64,2026-09-01T10:04:52Z,INFO,api-4,request handled,448
65,2026-09-02T10:05:05Z,INFO,api-5,request handled,455
66,2026-09-03T10:06:18Z,INFO,api-6,request handled,467
67,2026-09-04T10:07:31Z,INFO,api-7,request handled,469
68,2026-09-05T10:08:44Z,INFO,api-8,request handled,476
69,2026-09-06T10:09:57Z,INFO,api-9,request handled,488
70,2026-09-07T10:10:10Z,INFO,api-10,request handled,490
71,2026-09-08T10:11:23Z,INFO,api-11,request handled,497
72,2026-09-01T10:12:36Z,INFO,api-0,request handled,509
73,2026-09-02T10:13:49Z,INFO,api-1,request handled,511
74,2026-09-03T10:14:02Z,INFO,api-2,request handled,518
75,2026-09-04T10:15:15Z,INFO,api-3,request handled,530
76,2026-09-05T10:16:28Z,INFO,api-4,request handled,532
77,2026-09-06T10:17:41Z,INFO,api-5,request handled,539
78,2026-09-07T10:18:54Z,INFO,api-6,request handled,551
79,2026-09-08T10:19:07Z,INFO,api-7,request handled,553
80,2026-09-01T10:20:20Z,INFO,api-8,request handled,560
81,2026-09-02T10:21:33Z,INFO,api-9,request handled,572
82,2026-09-03T10:22:46Z,INFO,api-10,request handled,574
83,2026-09-04T10:23:59Z,INFO,api-11,request handled,581
84,2026-09-05T10:24:12Z,INFO,api-0,request handled,593
85,2026-09-06T10:25:25Z,INFO,api-1,request handled,595
86,2026-09-07T10:26:38Z,INFO,api-2,request handled,602
87,2026-09-08T10:27:51Z,INFO,api-3,request handled,614
88,2026-09-01T10:28:04Z,INFO,api-4,request handled,616
89,2026-09-02T10:29:17Z,INFO,api-5,request handled,623
90,2026-09-03T10:30:30Z,INFO,api-6,request handled,635
91,2026-09-04T10:31:43Z,INFO,api-7,request handled,637
92,2026-09-05T10:32:56Z,INFO,api-8,request handled,644
93,2026-09-06T10:33:09Z,INFO,api-9,request handled,656
